amore,affetto,passione,adorazione
bello,carino,affascinante,gradevole
speranza,aspettativa,illusione,attesa
felice,contento,allegro,gioioso
triste,infelice,malinconico,depresso
forza,vigore,potenza,energia
paura,timore,terrore,ansia
vita,esistenza,anima,essenza
morte,decesso,fine,trapasso
giorno,diurno,luce,aurora
notte,oscurità,tenebra,buio
felicità,gioia,allegria,beatitudine
dolore,sofferenza,pena,tormento
pace,tranquillità,serenità,calma
guerra,conflitto,battaglia,lotta
amico,compagno,collega,alleato
nemico,avversario,rivale,oppositore
amorevole,affettuoso,gentile,premuroso
odio,rancore,antipatia,disprezzo
caldo,bollente,torrido,afoso
freddo,gelido,glaciale,rigido
ricco,benestante,facoltoso,agiato
povero,indigente,bisognoso,miserabile
veloce,rapido,svelto,celere
lento,tardo,pigro,indolente
felice,contento,soddisfatto,appagato
cattivo,malvagio,crudele,spietato
forte,robusto,vigoroso,potente
debole,fragile,esile,tenue
coraggio,audacia,valore,ardimento
paura,timore,terrore,ansia
successo,trionfo,vittoria,realizzazione
fallimento,sconfitta,insuccesso,disastro
libertà,indipendenza,autonomia,emancipazione
prigionia,detenzione,reclusione,incarcerazione
felice,contento,soddisfatto,sereno
triste,abbattuto,sconfortato,depressivo
intelligente,astuto,sagace,acuto
stupido,idiota,sciocco,imbecille
giovane,adolescente,ragazzo,fanciullo
anziano,vecchio,adulto,maturo
bello,attraente,affascinante,splendido
brutto,sgradevole,orrendo,spiacevole
felice,lieto,raggiante,euforico
paura,inquietudine,sospetto,preoccupazione
freddo,brivido,frigido,algido
ricco,lussuoso,opulento,magnate
lento,ritardato,languido,ponderato
forza,energia,grinta,intensità
triste,affranto,lacrimoso,addolorato
caldo,scottante,infuocato,ardente
amore,tenerezza,dedizione,passione
bello,radioso,incantevole,meraviglioso
guerra,ostilità,conflitto,assedio
pace,armonia,accordo,serenità
amico,alleato,confidente,compagno
nemico,antagonista,ostile,detrattore
veloce,fulmineo,istantaneo,celere
lento,ritardatario,pigro,ponderato
coraggio,temerarietà,audacia,valoroso
intelligente,saggio,intuitivo,brillante
stupido,cretino,ottuso,stolto
giovane,bambino,infante,giovincello
anziano,senior,veterano,geriatrico
forte,tenace,resistente,possente
debole,esitante,vacillante,vulnerabile
dolore,agonia,patimento,lacerazione
odio,avversione,disgusto,repulsione
libertà,autonomia,licenza,scioltezza
prigionia,carcere,segregazione,incatenamento
successo,prosperità,avanzamento,progresso
fallimento,caduta,disfatta,rovina
giorno,mattino,aurora,diurno
notte,crepuscolo,oscurità,tenebra

