amor,afecto,pasión,adoración
hermoso,bonito,atractivo,agradable
esperanza,expectativa,ilusión,espera
feliz,contento,alegre,gozoso
triste,infeliz,melancólico,deprimido
fuerza,vigor,potencia,energía
miedo,temor,terror,ansiedad
vida,existencia,alma,esencia
muerte,deceso,fin,fallecimiento
día,diurno,luz,aurora
noche,oscuridad,tiniebla,tiniebla
felicidad,alegría,gozo,beatitud
dolor,sufrimiento,pena,tormento
paz,tranquilidad,serenidad,calma
guerra,conflicto,batalla,lucha
amigo,compañero,colega,aliado
enemigo,adversario,rival,opositor
amoroso,afectuoso,amable,atento
odio,rencor,antipatía,desprecio
calor,ardiente,tórrido,sofocante
frío,helado,glacial,riguroso
rico,acomodado,adinerado,acomodado
pobre,indigente,necesitado,miserable
rápido,veloz,ágil,célere
lento,tardío,perezoso,indolente
feliz,contento,satisfecho,complacido
malo,malvado,cruel,despiadado
fuerte,robusto,vigoroso,poderoso
débil,frágil,delicado,tenue
coraje,valor,valentía,audacia
miedo,temor,terror,ansiedad
éxito,triunfo,victoria,logro
fracaso,derrota,fallo,desastre
libertad,independencia,autonomía,emancipación
prisión,detención,reclusión,encarcelamiento
feliz,contento,satisfecho,sereno
triste,abatido,desconsolado,deprimido
inteligente,astuto,sagaz,agudo
estúpido,idiota,tonto,imbécil
joven,adolescente,chico,joven
anciano,viejo,adulto,maduro
hermoso,atractivo,encantador,espléndido
feo,desagradable,horrendo,desagradable
feliz,contento,resplandeciente,eufórico
miedo,inquietud,sospecha,preocupación
frío,escalofrío,frígido,gélido
rico,lujoso,opulento,magnate
lento,retrasado,lánguido,ponderado
fuerza,energía,entusiasmo,intensidad
triste,afligido,lloroso,dolorido
calor,abrasador,ardiente,ardoroso
amor,ternura,dedicación,pasión
hermoso,radiante,encantador,maravilloso
guerra,hostilidad,conflicto,sitio
paz,armonía,acuerdo,serenidad
amigo,aliado,confidente,compañero
enemigo,antagonista,hostil,detractor
rápido,fulminante,instantáneo,célere
lento,retrasado,perezoso,ponderado
coraje,temeridad,audacia,valeroso
inteligente,sabio,intuitivo,brillante
estúpido,cretino,obtuso,torpe
joven,niño,infante,joven
anciano,senior,veterano,geriátrico
fuerte,tenaz,resistente,poderoso
débil,dudoso,vacilante,vulnerable
dolor,agonia,sufrimiento,desgarro
odio,aversión,disgusto,repulsión
libertad,autonomía,licencia,desenfado
prisión,cárcel,segregación,encadenamiento
éxito,prosperidad,avance,progreso
fracaso,caída,derrota,ruina
día,mañana,aurora,diurno
noche,crepúsculo,oscuridad,tiniebla
